name,team,position,situation,games_played,icetime,I_F_points,I_F_goals
Sam Lafferty,VAN,C,all,30,23747,15,8
Kevin Fiala,LAK,L,all,26,26823,26,6
Ilya Lyubushkin,ANA,D,all,29,30169,3,0
Sammy Walker,MIN,C,all,2,1210,0,0
Colton Sissons,NSH,C,all,30,29981,15,9
Tomas Hertl,SJS,C,all,29,37025,24,9
Trevor Zegras,ANA,C,all,12,12860,2,1
Oskar Olausson,COL,R,all,1,710,0,0
Adam Henrique,ANA,C,all,28,27399,13,6
Michael Rasmussen,DET,C,all,29,26689,14,7
Mats Zuccarello,MIN,R,all,27,29565,28,6
Connor Dewar,MIN,C,all,27,17999,8,6
Alex Wennberg,SEA,C,all,31,34248,12,4
Derek Forbort,BOS,D,all,20,22035,4,0
Filip Hronek,VAN,D,all,30,43675,27,2
Joel Farabee,PHI,L,all,29,25895,19,11
Alex Ovechkin,WSH,L,all,26,30487,16,5
A.J. Greer,CGY,L,all,29,15395,8,4
Bryan Rust,PIT,R,all,22,24926,20,10
Tyler Kleven,OTT,D,all,5,3306,1,0
Bo Horvat,NYI,C,all,28,32714,29,11
Valeri Nichushkin,COL,R,all,27,33693,25,12
Nicholas Paul,TBL,L,all,31,32452,13,9
Jon Merrill,MIN,D,all,19,15495,3,1
Phillip Danault,LAK,C,all,26,26811,17,7
Josh Norris,OTT,C,all,22,24401,14,8
Mark Scheifele,WPG,C,all,28,35386,31,11
Mackie Samoskevich,FLA,R,all,3,2262,0,0
Mason Appleton,WPG,C,all,28,27717,15,6
Oliver Bjorkstrand,SEA,R,all,31,31694,24,9
Olle Lycksell,PHI,R,all,1,371,0,0
Cole Perfetti,WPG,C,all,28,24580,19,9
Urho Vaakanainen,ANA,D,all,22,21071,5,0
Matty Beniers,SEA,C,all,31,34079,13,4
Erik Haula,NJD,L,all,22,20761,14,7
Justin Danforth,CBJ,R,all,31,27464,14,7
Conor Sheary,TBL,L,all,14,9537,5,1
Lucas Johansen,WSH,D,all,6,5136,1,0
Chad Ruhwedel,PIT,D,all,15,11000,1,0
Zach Bogosian,MIN,D,all,15,12173,1,0
Clayton Keller,ARI,R,all,29,34191,25,9
Michael Kesselring,ARI,D,all,13,10283,6,1
Max Domi,TOR,C,all,27,20748,14,1
Logan Stanley,WPG,D,all,7,5175,0,0
Kaedan Korczak,VGK,D,all,15,14840,7,1
Zach Werenski,CBJ,D,all,29,42457,23,1
Mikhail Sergachev,TBL,D,all,31,43819,19,2
Matthew Phillips,WSH,R,all,19,12208,5,1
Carter Verhaeghe,FLA,C,all,29,31065,23,13
Matthew Tkachuk,FLA,L,all,29,33049,20,5
Brendan Lemieux,CAR,L,all,11,4730,2,2
Brandon Montour,FLA,D,all,13,18368,2,0
Travis Dermott,ARI,D,all,15,14612,1,0
Ilya Mikheyev,VAN,R,all,26,22304,16,9
Brian Dumoulin,SEA,D,all,30,28931,6,2
Yegor Sharangovich,CGY,C,all,30,28279,18,10
Fraser Minten,TOR,C,all,4,2744,0,0
Pontus Holmberg,TOR,R,all,7,3674,0,0
Shea Theodore,VGK,D,all,20,28061,18,4
Artturi Lehkonen,COL,L,all,12,13319,8,3
Justin Faulk,STL,D,all,29,39049,14,0
Nick Seeler,PHI,D,all,29,30127,7,0
Michael Amadio,VGK,R,all,30,22694,15,5
TJ Brodie,TOR,D,all,27,36048,6,0
Martin Pospisil,CGY,C,all,18,13548,6,3
Pierre-Luc Dubois,LAK,C,all,26,25067,12,5
Ryan Carpenter,SJS,C,all,18,12630,5,1
Daniel Sprong,DET,R,all,29,23243,19,7
Andreas Athanasiou,CHI,C,all,11,8417,4,0
Brett Murray,BUF,L,all,2,956,0,0
Warren Foegele,EDM,L,all,27,21518,10,4
Dylan DeMelo,WPG,D,all,28,36190,11,1
Oskar Steen,BOS,C,all,15,8159,1,1
Adam Ruzicka,CGY,C,all,25,16218,8,3
